id,title,content,publication_date,source_url,category,created_at
1,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",NULL,"2023-04-19 12:44:51",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,Other,"2024-10-08 18:54:53"
2,"Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory",NULL,"2023-04-17 16:01:11",https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,Other,"2024-10-08 18:54:53"
3,"Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case'",NULL,"2023-04-19 08:28:17",https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,Other,"2024-10-08 18:54:53"
4,"'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement",NULL,"2023-04-18 21:17:44",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,Other,"2024-10-08 18:54:53"
5,"Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden",NULL,"2023-04-18 20:34:45",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,Other,"2024-10-08 18:54:53"
6,"White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges",NULL,"2023-04-19 04:29:05",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,Other,"2024-10-08 18:54:53"
7,"Newly released video shows scene of Jeremy Renner's snowplow accident",NULL,"2023-04-18 14:09:43",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,Other,"2024-10-08 18:54:53"
8,"Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together",NULL,"2023-04-18 14:40:32",https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,Other,"2024-10-08 18:54:53"
9,"Toddler crawls through White House fence, prompts Secret Service response",NULL,"2023-04-18 17:38:16",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,Other,"2024-10-08 18:54:53"
10,"Jamie Foxx remains hospitalized nearly a week after 'medical complication'",NULL,"2023-04-18 00:27:07",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,Other,"2024-10-08 18:54:53"
11,"A 13-year-old dies after participating in a Benadryl TikTok 'challenge'",NULL,"2023-04-19 15:01:06",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,Other,"2024-10-08 18:54:53"
12,"See pizza delivery guy take out suspect fleeing police",NULL,"2023-04-18 16:40:22",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,Other,"2024-10-08 18:54:53"
13,"Netflix is winding down its DVD business after 25 years",NULL,"2023-04-18 20:10:51",https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,Other,"2024-10-08 18:54:53"
14,"FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams",NULL,"2023-04-18 17:59:38",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,Other,"2024-10-08 18:54:53"
15,"Eating too much of these foods is driving the rise in type 2 diabetes, study says",NULL,"2023-04-17 16:02:46",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,Other,"2024-10-08 18:54:53"
16,"ADHD medication abuse in schools is a 'wake-up call'",NULL,"2023-04-25 17:44:36",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,Other,"2024-10-08 18:54:53"
17,"Apple CEO was presented with an original Macintosh. See his reaction",NULL,"2023-04-18 09:17:25",https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,Other,"2024-10-08 18:54:53"
18,"Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear",NULL,"2023-04-18 20:29:46",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Other,"2024-10-08 18:54:53"
19,"Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine",NULL,"2023-04-18 19:07:52",https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Other,"2024-10-08 18:54:53"
20,"'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney",NULL,"2023-04-18 03:24:56",https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Other,"2024-10-08 18:54:53"
21,"GOP prepared to block vote to replace Feinstein on Senate Judiciary",NULL,"2023-04-18 22:03:13",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Other,"2024-10-08 18:54:53"
22,"Oklahoma governor calls on officials to resign over recording of racist and threatening remarks",NULL,"2023-04-18 17:33:17",https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Other,"2024-10-08 18:54:53"
23,"McCarthy slams Biden in handling of US debt",NULL,"2023-04-18 22:03:01",https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Other,"2024-10-08 18:54:53"
24,"US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant",NULL,"2023-04-19 08:35:33",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Technology,"2024-10-08 18:54:53"
25,"Repeated gunshots fired on live TV as ex-lawmaker shot by assassins",NULL,"2023-04-18 09:41:42",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Other,"2024-10-08 18:54:53"
26,"FDA clears the way for additional bivalent boosters for certain vulnerable individuals",NULL,"2023-04-18 15:09:15",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Other,"2024-10-08 18:54:53"
27,"Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving",NULL,"2023-04-19 01:49:51",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Other,"2024-10-08 18:54:53"
28,"Southwest says flights resumed after delays caused by 'tech issues'",NULL,"2023-04-18 17:15:29",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Other,"2024-10-08 18:54:53"
29,"Damar Hamlin cleared to resume football activities after January cardiac arrest",NULL,"2023-04-18 22:11:37",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Other,"2024-10-08 18:54:53"
30,"Pilot makes history after landing on top of a 56-story hotel",NULL,"2023-03-19 11:22:30",https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Other,"2024-10-08 18:54:53"
31,"Top US Navy admiral defends non-binary sailor amid some Republican criticism",NULL,"2023-04-18 19:56:40",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,Other,"2024-10-08 18:54:53"
32,"Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified",NULL,"2023-04-19 15:31:24",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,Other,"2024-10-08 18:54:53"
33,"High speed trains are racing across the world. But not in America",NULL,"2023-04-19 02:39:40",https://www.cnn.com/travel/article/high-speed-rail-us/index.html,Other,"2024-10-08 18:54:53"
34,"Here's what you need to know if you haven't filed your return yet — and even if you have",NULL,"2023-04-18 14:15:43",https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,Other,"2024-10-08 18:54:53"
35,"Undocumented immigrants are paying their taxes today, too",NULL,"2023-04-18 18:29:24",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,Other,"2024-10-08 18:54:53"
36,"Opinion: Why millionaires like us want to pay more in taxes",NULL,"2023-04-17 19:32:49",https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,Other,"2024-10-08 18:54:53"
37,"'World's longest' purpose-built cycling tunnel opens in Norway",NULL,"2023-04-18 10:44:27",https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,Other,"2024-10-08 18:54:53"
38,"Artist rejects photo prize after AI-generated image wins award",NULL,"2023-04-18 15:27:54",https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,Other,"2024-10-08 18:54:53"
39,"These ships disappeared in Lake Superior a century ago. Watch as they're found again",NULL,"2023-04-18 19:29:01",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,Other,"2024-10-08 18:54:53"
40,"Erotic images of seniors show sex and intimacy in new light",NULL,"2023-04-18 03:24:57",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,Other,"2024-10-08 18:54:53"
41,"China's economy is off to a solid start, rising 4.5% in Q1 2023",NULL,"2023-04-18 07:01:12",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,Other,"2024-10-08 18:54:53"
42,"Even when wives make as much as husbands, they still do more at home",NULL,"2023-04-16 17:29:49",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,Other,"2024-10-08 18:54:53"
43,"McDonald's is upgrading its burgers",NULL,"2023-04-17 16:31:30",https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,Other,"2024-10-08 18:54:53"
44,"Google-parent stock drops on fears it could lose search market share to AI-powered rivals",NULL,"2023-04-17 15:52:19",https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,Other,"2024-10-08 18:54:53"
45,"Mifepristone saved my life",NULL,"2023-04-18 11:30:00",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,Other,"2024-10-08 18:54:53"
46,"Why isn't the House Judiciary Committee looking into Thomas?",NULL,"2023-04-17 11:37:37",https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,Other,"2024-10-08 18:54:53"
47,"Top secrets come spilling out",NULL,"2023-04-16 11:22:36",https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,Other,"2024-10-08 18:54:53"
48,"How did Sudan go from casting off despotic rule to this?",NULL,"2023-04-17 22:45:23",https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,Other,"2024-10-08 18:54:53"
49,"Michelle Yeoh set to return in new 'Star Trek' movie",NULL,"2023-04-18 19:11:23",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,Other,"2024-10-08 18:54:53"
50,"Recap: 'Succession' finds dark humor in the aftershocks",NULL,"2023-04-17 02:28:12",https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,Other,"2024-10-08 18:54:53"
51,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it",NULL,"2023-05-01 23:02:04",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,Other,"2024-10-08 18:54:53"
52,"Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident",NULL,"2023-04-16 19:04:10",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,Other,"2024-10-08 18:54:53"
53,"Review: 'Barry' takes a whack at its farewell season",NULL,"2023-04-14 12:33:08",https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,Other,"2024-10-08 18:54:53"
54,"Fox News Power Rankings: The biggest surprises come after October",NULL,"2024-10-08 08:57:25",https://www.foxnews.com/politics/fox-news-power-rankings-biggest-surprises-come-after-october,Other,"2024-10-08 18:54:54"
55,"Mike Lee outlines roadmap for McConnell successor, warns the 'health of the Republican Party' is at stake",NULL,"2024-10-08 08:38:56",https://www.foxnews.com/politics/mike-lee-outlines-roadmap-mcconnell-successor-warns-health-republican-party-stake,Other,"2024-10-08 18:54:54"
56,"Harris takes slim lead over Trump in new poll as voters view her as candidate of change",NULL,"2024-10-08 08:26:03",https://www.foxnews.com/politics/harris-takes-slim-lead-over-trump-new-poll-voters-view-her-candidate-change,Other,"2024-10-08 18:54:54"
57,"'Tough call': Atlanta voters split on who will win Georgia",NULL,"2024-10-08 08:00:15",https://www.foxnews.com/politics/tough-call-atlanta-voters-split-who-win-georgia,Other,"2024-10-08 18:54:54"
58,"Trump announces rally in 'war zone' Colorado city",NULL,"2024-10-08 07:40:13",https://www.foxnews.com/politics/trump-announces-rally-war-zone-colorado-city,Other,"2024-10-08 18:54:54"
59,"Trump, Republicans venture to blue areas in Wisconsin to boost GOP turnout",NULL,"2024-10-08 07:00:48",https://www.foxnews.com/politics/trump-republicans-venture-blue-areas-wisconsin-boost-gop-turnout,Other,"2024-10-08 18:54:54"
60,"First on Fox: Top outside group backing House Republicans sets fundraising record",NULL,"2024-10-08 06:00:33",https://www.foxnews.com/politics/top-outside-group-backing-house-republicans-showcases-fundraising-prowess,Other,"2024-10-08 18:54:54"
61,"Vulnerable Dem Jon Tester turns on Biden admin over DEI after Montana universities stripped of federal funds",NULL,"2024-10-08 06:00:18",https://www.foxnews.com/politics/vulnerable-dem-jon-tester-turns-biden-admin-over-dei-after-montana-universities-stripped-federal-funds,Other,"2024-10-08 18:54:54"
62,"Early voting kicks off in Indiana, New Mexico, Ohio, Wyoming",NULL,"2024-10-08 05:00:46",https://www.foxnews.com/politics/early-voting-indiana-new-mexico-ohio-wyoming,Other,"2024-10-08 18:54:54"
63,"Eye of the Storm: Back-to-back hurricanes threaten to upend Harris-Trump presidential showdown",NULL,"2024-10-08 04:00:32",https://www.foxnews.com/politics/eye-storm-hurricanes-theaten-upend-harris-trump-presidential-showdown,Other,"2024-10-08 18:54:54"
64,"1 year after Hezbollah strikes, Israel reinforces troops and questions mount over ‘limited’ operation",NULL,"2024-10-08 04:00:27",https://www.foxnews.com/politics/one-year-after-hezbollah-strikes-israel-reinforces-troops-questions-mount-over-limited-operation,Other,"2024-10-08 18:54:54"
65,"'Social cost of greenhouse gases': House GOP targets progressive Biden policy for rising energy prices",NULL,"2024-10-08 04:00:05",https://www.foxnews.com/politics/social-cost-greenhouse-gases-house-gop-targets-progressive-biden-policy-rising-energy-prices,Other,"2024-10-08 18:54:54"
66,"Kamala 2.0’s challenge? Making more news, and not just with ultra-friendly hosts",NULL,"2024-10-08 03:00:43",https://www.foxnews.com/politics/kamala-2-0s-challenge-making-more-news-not-just-ultra-friendly-hosts,Other,"2024-10-08 18:54:54"
67,"Chicago mayor compares viewpoint of those who disagree with him about school spending to slavery",NULL,"2024-10-07 22:36:37",https://www.foxnews.com/politics/chicago-mayor-compares-viewpoint-those-who-disagree-him-about-school-spending-slavery,Other,"2024-10-08 18:54:54"
68,"Harris said candidates must 'earn' voter support — despite skipping primaries before becoming Dem nominee",NULL,"2024-10-07 22:16:57",https://www.foxnews.com/politics/harris-said-candidates-must-earn-voter-support-skipping-primaries-becoming-dem-nominee,Other,"2024-10-08 18:54:54"
69,"Political storm: Harris says DeSantis 'selfish' for reportedly not taking her hurricane-related calls",NULL,"2024-10-07 21:21:46",https://www.foxnews.com/politics/political-storm-harris-desantis-selfish-reportedly-not-taking-her-hurricane-related-calls,Other,"2024-10-08 18:54:54"
70,"Reporter's Notebook: All about the politics of disaster relief",NULL,"2024-10-07 19:07:27",https://www.foxnews.com/politics/politics-disaster-relief,Politics,"2024-10-08 18:54:54"
71,"'Traitor' Liz Cheney walloped by Wyoming voters for Harris endorsement, break with GOP",NULL,"2024-10-07 18:42:20",https://www.foxnews.com/politics/traitor-liz-cheney-walloped-wyoming-voters-harris-endorsement-break-gop,Other,"2024-10-08 18:54:54"
72,"Trump sounds alarm on illegal immigrant murderers: 'A lot of bad genes in our country'",NULL,"2024-10-07 18:24:56",https://www.foxnews.com/politics/trump-sounds-alarm-illegal-immigrant-murderers-bad-genes-in-country,Other,"2024-10-08 18:54:54"
73,"Georgia high court restores state's 6-week 'heartbeat' abortion law",NULL,"2024-10-07 17:55:40",https://www.foxnews.com/politics/georgia-high-court-restores-states-six-week-heartbeat-abortion-law,Other,"2024-10-08 18:54:54"
74,"Fox News Politics: One Year Since October 7th Attacks",NULL,"2024-10-07 17:11:35",https://www.foxnews.com/politics/fox-news-politics-one-year-anniversary-of-october-7th-attacks,Politics,"2024-10-08 18:54:54"
75,"MAGA candidate vying to flip Virginia Senate seat red stands firm on controversial military comments",NULL,"2024-10-07 16:59:56",https://www.foxnews.com/politics/gop-virginia-senate-candidate-navy-veteran-hung-cao-challenges-turning-virginia-red-from-purple,Other,"2024-10-08 18:54:54"
76,"Lawsuit accuses state department, DOJ of stonewalling FOIA requests regarding climate office personnel",NULL,"2024-10-07 16:18:09",https://www.foxnews.com/politics/lawsuit-accuses-state-department-doj-stonewalling-foia-requests-climate-office-staff,Other,"2024-10-08 18:54:54"
77,"Kamala Harris courts disillusioned Arab Americans over Jewish groups, records show",NULL,"2024-10-07 15:17:12",https://www.foxnews.com/politics/kamala-harris-courts-disillusioned-arab-americans-over-jewish-groups,Other,"2024-10-08 18:54:54"
78,"Vance gives full-throated support for Israel, has choice words for Biden-Harris at Oct 7 memorial rally",NULL,"2024-10-07 14:31:21",https://www.foxnews.com/politics/vance-gives-full-throated-support-israel-has-choice-words-biden-harris-oct-7-memorial-rally,Other,"2024-10-08 18:54:54"
79,"SpaceX says it could launch Starship soon if the FAA lets it",NULL,"2024-10-08 13:15:00",https://qz.com/spacex-starship-rocket-fifth-launch-test-elon-musk-faa-1851667523,Other,"2024-10-08 18:54:54"
80,"Uber will use ChatGPT to get more people to use EVs",NULL,"2024-10-08 13:13:47",https://qz.com/uber-green-electric-vehicles-evs-ai-assistant-1851667513,Other,"2024-10-08 18:54:54"
81,"Everything to know about Nvidia, from the stock to its AI chips",NULL,"2024-10-08 09:00:00",https://qz.com/nvidia-stock-ai-chips-market-cap-1851647728,Other,"2024-10-08 18:54:54"
82,"Why are the world's wealthiest families flocking to family offices?",NULL,"2024-10-08 09:00:00",https://qz.com/why-world-wealthiest-families-flocking-family-offices-1851665724,Other,"2024-10-08 18:54:54"
